;data\sz\218-abtreibung-familienministerin-lisa-paus-gruene-schwangerschaftsabbruch-kommentar-contra-1.txt;data\sz\92234.txt;data\sz\92295.txt;data\sz\92296.txt;data\sz\92298.txt;data\sz\92302.txt;data\sz\adel-frueherer-griechischer-koenig-konstantin-ii-gestorben-dpa.txt;data\sz\adel-hamburg-bericht-koenig-charles-iii-will-im-maerz-hamburg-besuchen-dpa.txt;data\sz\adel-harrys-memoiren-stuermt-auch-deutsche-buch-charts-dpa.txt;data\sz\adel-koenig-charles-will-im-fruehling-nach-deutschland-reisen-dpa.txt;data\sz\adel-london-koenig-charles-iii-will-im-fruehling-nach-berlin-reisen-dpa.txt;data\sz\adel-prinz-harry-charles-war-eifersuechtig-auf-meghan-und-kate-dpa.txt;data\sz\adel-prinz-harry-ruettelt-an-fundamenten-der-monarchie-dpa.txt;data\sz\adel-prinz-harrys-biografie-willy-diana-und-der-boulevard-dpa.txt;data\sz\adel-rekordstart-fuer-prinz-harrys-memoiren-dpa.txt;data\sz\adel-zoff-kokain-und-eine-blutige-bilanz-harrys-memoiren-dpa.txt;data\sz\adolfo-kaminsky-meisterfaelscher-nachruf-1.txt;data\sz\adventskalender-fuer-gute-werke-spenden-armut-1.txt;data\sz\agrar-alkoholfreier-sekt-wird-haeufiger-ausgeschenkt-dpa.txt;data\sz\aicher-ski-slalom-1.txt;data\sz\aktuelles-lexikon-kindergefaengnis-1.txt;data\sz\aktuelles-lexikon-ocean-race-1.txt;data\sz\alexej-nawalny-krank-russische-mediziner-aufruf-1.txt;data\sz\allgaeu-sternsinger-betrug-polizei-zeugen-1.txt;data\sz\amtsgericht-starnberg-prozess-kinder-und-jugendpornografie-1.txt;data\sz\arbeit-dihk-zu-fachkraeftemangel-betroffen-sind-eigentlich-alle-dpa.txt;data\sz\arbeitsmarkt-chancen-von-frauen-auf-fuehrungspositionen-gestiegen-dpa.txt;data\sz\arbeitsmarkt-chemnitz-auslaendische-arbeitskraefte-sorgen-fuer-beschaeftigungsplus-dpa.txt;data\sz\arbeitsmarkt-hamburg-jobcenter-hamburg-betreut-rund-20000-kriegsfluechtlinge-dpa.txt;data\sz\arbeitsmarkt-viele-unternehmen-durch-fachkraeftemangel-gehemmt-dpa.txt;data\sz\archaeologie-berlin-graeberfund-untersucht-experten-vermuten-junge-person-dpa.txt;data\sz\argentinisches-tageblatt-buenos-aires-zeitung-medien-1.txt;data\sz\armut-krankenversicherung-malteser-aerzte-der-welt-1.txt;data\sz\arno-geiger-das-glueckliche-geheimnis-altpapier-abfall-muell-rezension-1.txt;data\sz\ausstellungen-hannover-kestner-gesellschaft-erinnert-an-avantgarde-vor-100-jahren-dpa.txt;data\sz\bad-reichenhall-unfall-fussgaengerzone-feuerwehr-auto-1.txt;data\sz\bad-toelz-wolfratshausen-ausstellungen-1.txt;data\sz\band-hebertshausen-s2-post-rock-konzert-album-1.txt;data\sz\bau-schwerin-ausbildungskonzept-sorgt-fuer-mehr-bauingenieur-studenten-dpa.txt;data\sz\bayern-randsportarten-radrennen-feldhandball-bergrennen-1.txt;data\sz\bayern-spd-arif-tasdelen-christina-stockfisch-belaestigung-1.txt;data\sz\bayreuth-festspiele-sexismus-1.txt;data\sz\belgien-trainer-linkedin-glosse-fussball-1.txt;data\sz\berg-am-starnberger-see-gisela-forster-benedikt-xvi-frauenrechte-1.txt;data\sz\berg-am-starnberger-see-kunst-hobby-privatsammlung-galerie-serie-1.txt;data\sz\bergbau-erkelenz-letztes-gebaeude-wird-geraeumt-aktivisten-im-tunnel-dpa.txt;data\sz\bergbau-erkelenz-luetzerath-ist-von-doppelzaun-umgeben-raeumung-geht-weiter-dpa.txt;data\sz\bergbau-erkelenz-raeumung-geht-weiter-demonstranten-kommen-nicht-mehr-durch-dpa.txt;data\sz\bergbau-erkelenz-weitgehend-ruhige-nacht-in-luetzerath-dpa.txt;data\sz\bergbau-zu-klaviermusik-rueckt-die-polizei-nach-luetzerath-ein-dpa.txt;data\sz\bergkirchen-kultur-alte-schule-lauterbach-sz-kulturpreis-tassilo-1.txt;data\sz\berlin-gefluechtete-notstand-wohnung-obdachlosigkeit-1.txt;data\sz\berlin-silvester-cdu-migration-vornamen-arbeitskraefte-gastkommentar-1.txt;data\sz\bester-dinge-gendern-staedtenamen-frankreich-pantin-pantine-1.txt;data\sz\biathlon-auch-deutsche-frauen-staffel-in-ruhpolding-auf-platz-zwei-dpa.txt;data\sz\biathlon-biathlet-doll-keine-langstreckenfluege-in-den-urlaub-dpa.txt;data\sz\biathlon-biathlon-stromausfall-reserve-system-funktionierte-nicht-dpa.txt;data\sz\biathlon-boe-fuehlt-sich-staerker-denn-je-dpa.txt;data\sz\biathlon-chaos-durch-stromausfaelle-boe-gewinnt-doll-sechster-dpa.txt;data\sz\biathlon-deutsche-staffel-in-ruhpolding-auf-rang-zwei-hinter-norwegen-dpa.txt;data\sz\biathlon-die-waxmafia-hilft-norwegens-biathleten-nicht-zu-stoppen-dpa.txt;data\sz\biathlon-extra-batteriesystem-rettete-ergebnisse-nach-stromausfall-dpa.txt;data\sz\biathlon-frauen-einzel-ruhpolding-stromausfall-oesterreich-1.txt;data\sz\biathlon-herrmann-wick-trotz-platz-15-im-plan-fuer-die-heim-wm-dpa.txt;data\sz\biathlon-ruhpolding-als-vorgeschmack-auf-biathlon-wm-dpa.txt;data\sz\biathlon-ruhpolding-auch-deutsche-frauen-staffel-in-ruhpolding-auf-platz-zwei-dpa.txt;data\sz\biathlon-ruhpolding-biathletinnen-loben-gute-bedingungen-trotz-des-wetters-dpa.txt;data\sz\biathlon-ruhpolding-boe-fuehlt-sich-staerker-denn-je-doll-gibt-trotzdem-nicht-auf-dpa.txt;sz;Insgesamt
frauen;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;7.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;2.0;0.0;5.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;1.0;0.0;2.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;2.0;0.0;1.0;0.0;2.0;1.0;0.0013659678858162355;0.0013659678858162355
frau;2.0;1.0;4.0;1.0;4.0;0.0;1.0;3.0;0.0;1.0;1.0;2.0;3.0;2.0;1.0;4.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0013380909901873326;0.0013380909901873326
zwei;0.0;1.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;3.0;0.0;0.0;0.0;4.0;0.0;1.0;1.0;0.0;0.0;2.0;3.0;3.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;0.0013380909901873326;0.0013380909901873326
deutschen;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;1.0;4.0;0.0;2.0;3.0;2.0;2.0;0.0;0.0;0.0011987065120428189;0.0011987065120428189
prozent;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;3.0;3.0;4.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0011429527207850133;0.0011429527207850133
leben;0.0;1.0;5.0;1.0;10.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0011150758251561106;0.0011150758251561106
beim;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;3.0;2.0;2.0;2.0;1.0;0.0011150758251561106;0.0011150758251561106
viele;0.0;0.0;1.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;4.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;1.0;1.0;1.0;4.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001059322033898305;0.001059322033898305
worden;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;1.0;3.0;0.0;2.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001059322033898305;0.001059322033898305
jahr;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;0.0;0.0;4.0;0.0;2.0;0.0;1.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010314451382694024;0.0010314451382694024
dpa-infocom;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0010314451382694024;0.0010314451382694024
mal;0.0;0.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;4.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0010314451382694024;0.0010314451382694024
–;0.0;4.0;10.0;5.0;11.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0010035682426404995;0.0010035682426404995
deutschland;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009756913470115968;0.0009756913470115968
seit;0.0;0.0;2.0;0.0;3.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0009756913470115968;0.0009756913470115968
gibt;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;1.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.000947814451382694;0.000947814451382694
dpa;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0008920606601248885;0.0008920606601248885
charles;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;4.0;4.0;5.0;1.0;3.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008920606601248885;0.0008920606601248885
gutscheine;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0008920606601248885;0.0008920606601248885
gut;0.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;1.0;3.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;1.0;0.0;3.0;3.0;0.0;0.0;0.0008641837644959858;0.0008641837644959858
ersten;0.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.000836306868867083;0.000836306868867083
polizei;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;9.0;7.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000836306868867083;0.000836306868867083
aktivisten;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;6.0;7.0;2.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008084299732381802;0.0008084299732381802
wehner;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0008084299732381802;0.0008084299732381802
drei;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0008084299732381802;0.0008084299732381802
mindirekt;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0008084299732381802;0.0008084299732381802
ganz;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;2.0;1.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0008084299732381802;0.0008084299732381802
vier;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;1.0;0.0;4.0;0.0;0.0;0.0007805530776092774;0.0007805530776092774
interview;0.0;3.0;5.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0007805530776092774;0.0007805530776092774
macht;0.0;1.0;2.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0007805530776092774;0.0007805530776092774
gute;0.0;1.0;12.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0007805530776092774;0.0007805530776092774
"""es";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;3.0;2.0;0.0;0.0;0.0;1.0;3.0;2.0;0.0;0.0007526761819803746;0.0007526761819803746
"""die";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0007526761819803746;0.0007526761819803746
zeit;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0007526761819803746;0.0007526761819803746
fast;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0007247992863514719;0.0007247992863514719
seien;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006969223907225691;0.0006969223907225691
jahre;0.0;0.0;2.0;1.0;3.0;3.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006969223907225691;0.0006969223907225691
